optimizer,lr,dropout,weight_decay,normalization,batch_size,epochs,final_train_loss,final_test_loss,final_test_accuracy,best_test_accuracy,best_epoch_num,epoch_train_losses,epoch_test_losses,epoch_test_accuracies
SGD,0.001,0.3,0.0001,layernorm,64,10,0.43264012016467196,0.3477113861083984,0.8722,0.8722,9,"[1.184869930815341, 0.7355110391434322, 0.6332862597030363, 0.572892284660197, 0.5356341465703969, 0.5064302258717734, 0.48090765904833765, 0.4626071411631763, 0.44880356758769385, 0.43264012016467196]","[0.6031824645996093, 0.506305258178711, 0.46321080322265623, 0.4268456085205078, 0.4103025115966797, 0.3912513031005859, 0.37705516357421875, 0.36779959411621094, 0.35722766723632815, 0.3477113861083984]","[0.7735, 0.8068, 0.8299, 0.8409, 0.8463, 0.8557, 0.858, 0.8637, 0.8647, 0.8722]"
SGD,0.001,0.3,0.0001,layernorm,128,10,0.5092770885557,0.3970680236816406,0.8563,0.8563,9,"[1.3826801422308248, 0.8628197931277473, 0.7365143074155617, 0.6719981762391927, 0.6287725044211854, 0.5914315792924559, 0.5680202469388559, 0.5440227552644734, 0.5292899719814756, 0.5092770885557]","[0.6831175109863281, 0.5721639221191406, 0.5265451416015625, 0.4960275115966797, 0.4687599487304687, 0.4512193298339844, 0.4340564453125, 0.41810261535644533, 0.40801351623535154, 0.3970680236816406]","[0.7645, 0.7894, 0.8079, 0.815, 0.8274, 0.8361, 0.8427, 0.8487, 0.8503, 0.8563]"
SGD,0.001,0.3,0.0001,layernorm,256,10,0.6495892271082452,0.5009233734130859,0.8117,0.8117,9,"[1.7340185982115726, 1.1828077536948183, 1.0064450398404547, 0.9022561192512513, 0.8262907459380778, 0.7745179262567073, 0.7363570781464273, 0.7004355833885517, 0.671528945070632, 0.6495892271082452]","[0.9620911376953125, 0.7892383728027343, 0.7021414611816407, 0.6453553833007812, 0.603026904296875, 0.5744637573242187, 0.5496186767578125, 0.5318231201171875, 0.5131804443359375, 0.5009233734130859]","[0.6885, 0.7226, 0.7479, 0.7623, 0.7752, 0.7827, 0.7963, 0.7981, 0.8056, 0.8117]"
Adam,0.01,0.0,0.0,None,64,10,0.4181994922093745,0.3708536224365234,0.8607,0.8676,7,"[0.6301103085597187, 0.47185830616239294, 0.44988246613156313, 0.4420098067759705, 0.42755988152868457, 0.4268374859905446, 0.4357143797313989, 0.42691734735010023, 0.42161656545995396, 0.4181994922093745]","[0.4103572540283203, 0.41835469055175784, 0.3995910919189453, 0.4000933502197266, 0.3802391876220703, 0.4238425140380859, 0.3862101348876953, 0.36587484741210935, 0.39067825317382815, 0.3708536224365234]","[0.8477, 0.843, 0.8484, 0.855, 0.8563, 0.8407, 0.8596, 0.8676, 0.848, 0.8607]"
Adam,0.01,0.0,0.0,None,128,10,0.34039490954326923,0.3080981475830078,0.8881,0.8889,4,"[0.601533290356207, 0.40535492527840744, 0.37858146540264587, 0.3739391464287284, 0.3635666332900651, 0.3549177343847909, 0.3461278324633011, 0.3398416926865893, 0.34301693642190273, 0.34039490954326923]","[0.36165572204589846, 0.35017614135742187, 0.3267584259033203, 0.32162864990234374, 0.30953706970214845, 0.34024443969726564, 0.3294321502685547, 0.3076658447265625, 0.3226561492919922, 0.3080981475830078]","[0.8672, 0.8714, 0.879, 0.882, 0.8889, 0.8724, 0.8829, 0.8882, 0.8846, 0.8881]"
Adam,0.01,0.0,0.0,None,256,10,0.2942029114733351,0.2794262008666992,0.8993,0.8997,8,"[0.6354796182602009, 0.39065049056043016, 0.3442799525692108, 0.3315897670832086, 0.322629451751709, 0.31559209011970685, 0.31244897354156415, 0.2965911801191086, 0.2999269019416038, 0.2942029114733351]","[0.38185056457519534, 0.317776806640625, 0.30395118103027347, 0.29897764282226563, 0.3015169647216797, 0.2914450012207031, 0.2977972381591797, 0.29434093322753907, 0.283306982421875, 0.2794262008666992]","[0.8649, 0.8836, 0.888, 0.8906, 0.8857, 0.8921, 0.8957, 0.8942, 0.8997, 0.8993]"
Adam,0.01,0.0,0.0,batchnorm,64,10,0.3588877052132255,0.2947897705078125,0.8977,0.8989,6,"[1.40404100484177, 0.8686307485360326, 0.6158692824688039, 0.5135267665232423, 0.4642756500446212, 0.4251725303688283, 0.4049470878676819, 0.38124453352649074, 0.36901511730098013, 0.3588877052132255]","[0.7238552001953125, 0.4595797332763672, 0.3755142333984375, 0.36235439453125, 0.323595947265625, 0.3351881652832031, 0.29687518920898437, 0.3082558013916016, 0.3002696960449219, 0.2947897705078125]","[0.7609, 0.8409, 0.8638, 0.8664, 0.8894, 0.8861, 0.8989, 0.8939, 0.8988, 0.8977]"
Adam,0.01,0.0,0.0,batchnorm,128,10,0.40921423334811036,0.3044281341552734,0.8991,0.8991,9,"[1.6438015981523721, 1.17751969902246, 0.9610771916822584, 0.7894734850824515, 0.662086332149343, 0.5746419479979127, 0.514198510250303, 0.46540169459161984, 0.4310455515758315, 0.40921423334811036]","[0.8640075073242187, 0.7371931274414063, 0.6250044128417969, 0.4904163116455078, 0.46041980590820314, 0.37511453247070314, 0.35941966247558593, 0.3181103057861328, 0.3079730804443359, 0.3044281341552734]","[0.7152, 0.7493, 0.7752, 0.8272, 0.8405, 0.8811, 0.8885, 0.898, 0.8986, 0.8991]"
Adam,0.01,0.0,0.0,batchnorm,256,10,0.7473963395078131,0.43940013732910155,0.8389,0.8389,9,"[2.2304383064838165, 1.7351016176507827, 1.7025535340004778, 1.6859902736988472, 1.6686036312833745, 1.6462566269204972, 1.6307556380616857, 1.4911004492577087, 0.9323308939629412, 0.7473963395078131]","[1.2887421142578126, 1.2070109985351563, 1.154533251953125, 1.1457554565429688, 1.0739150268554687, 1.0762584228515626, 1.018467822265625, 0.7331380249023437, 0.49666641845703124, 0.43940013732910155]","[0.6294, 0.6146, 0.5821, 0.6144, 0.6614, 0.5658, 0.7158, 0.7274, 0.8283, 0.8389]"
Adam,0.01,0.0,0.0,layernorm,64,10,0.35740920508911866,0.3286234497070312,0.8846,0.8846,9,"[1.6362426354686843, 1.0517464630258109, 0.6594592291218385, 0.5339392100029917, 0.48000095547961275, 0.4425405048167528, 0.4074897473491331, 0.38648971429130413, 0.37389115837495973, 0.35740920508911866]","[0.96227373046875, 0.5383450317382813, 0.4466136505126953, 0.4059944091796875, 0.3944816192626953, 0.38775145874023437, 0.3588892272949219, 0.38121852416992186, 0.33268949279785154, 0.3286234497070312]","[0.6885, 0.8087, 0.8386, 0.8546, 0.856, 0.8567, 0.8747, 0.8546, 0.881, 0.8846]"
